from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
CHN,BEL,2013,33,41,-8,2010s,CHN-BEL,Net flow back to origin,Very Large
IND,PRT,2014,17,21,-4,2010s,IND-PRT,Net flow back to origin,Very Large
AUS,NPL,2022,8,28,-20,2020s,AUS-NPL,Net flow back to origin,Large
VNM,AUT,2021,3,7,-4,2020s,VNM-AUT,Net flow back to origin,Medium
ISL,USA,2019,13,11,2,2010s,ISL-USA,Net flow to destination,Very Large
SEN,USA,2023,6,3,3,2020s,SEN-USA,Net flow to destination,Large
NZL,AUT,2022,6,2,4,2020s,NZL-AUT,Net flow to destination,Large
ESP,ISR,2017,13,9,4,2010s,ESP-ISR,Net flow to destination,Very Large
SGP,MYS,2006,12,9,3,2000s,SGP-MYS,Net flow to destination,Very Large
BEL,DNK,2022,19,19,0,2020s,BEL-DNK,Balanced,Very Large
ETH,TUR,2019,1,1,0,2010s,ETH-TUR,Balanced,Small
SWE,CZE,2021,20,19,1,2020s,SWE-CZE,Net flow to destination,Very Large
UGA,IND,2023,1,4,-3,2020s,UGA-IND,Net flow back to origin,Small
HKG,DEU,2008,10,9,1,2000s,HKG-DEU,Net flow to destination,Large
ZAF,NAM,2022,11,8,3,2020s,ZAF-NAM,Net flow to destination,Very Large
IDN,GBR,1998,5,5,0,1990s,IDN-GBR,Balanced,Large
KEN,CHE,2021,6,11,-5,2020s,KEN-CHE,Net flow back to origin,Large
ROU,BEL,2008,3,17,-14,2000s,ROU-BEL,Net flow back to origin,Medium
PAK,JPN,2018,7,11,-4,2010s,PAK-JPN,Net flow back to origin,Large
CHL,ARG,2023,14,12,2,2020s,CHL-ARG,Net flow to destination,Very Large
SGP,CHN,2024,13,14,-1,2020s,SGP-CHN,Net flow back to origin,Very Large
PAK,BRA,2011,3,1,2,2010s,PAK-BRA,Net flow to destination,Medium
CAN,VNM,2021,3,7,-4,2020s,CAN-VNM,Net flow back to origin,Medium
CAN,CZE,2011,8,14,-6,2010s,CAN-CZE,Net flow back to origin,Large
SVK,HUN,2014,6,9,-3,2010s,SVK-HUN,Net flow back to origin,Large
BEL,NOR,2008,4,1,3,2000s,BEL-NOR,Net flow to destination,Large
VNM,DEU,1998,1,1,0,1990s,VNM-DEU,Balanced,Small
UGA,KEN,2015,9,5,4,2010s,UGA-KEN,Net flow to destination,Large
KEN,NGA,2020,8,4,4,2020s,KEN-NGA,Net flow to destination,Large
HUN,FRA,2022,8,4,4,2020s,HUN-FRA,Net flow to destination,Large
JPN,IRL,1999,2,4,-2,1990s,JPN-IRL,Net flow back to origin,Medium
FRA,CRI,2000,1,1,0,2000s,FRA-CRI,Balanced,Small
BEL,ESP,2003,27,21,6,2000s,BEL-ESP,Net flow to destination,Very Large
DEU,MKD,2006,1,4,-3,2000s,DEU-MKD,Net flow back to origin,Small
BRA,RUS,2003,9,9,0,2000s,BRA-RUS,Balanced,Large
ISL,SWE,2005,7,8,-1,2000s,ISL-SWE,Net flow back to origin,Large
ROU,CHE,2015,15,6,9,2010s,ROU-CHE,Net flow to destination,Very Large
SVN,SVK,2006,11,16,-5,2000s,SVN-SVK,Net flow back to origin,Very Large
VEN,DEU,2017,10,1,9,2010s,VEN-DEU,Net flow to destination,Large
BGD,PHL,2021,1,2,-1,2020s,BGD-PHL,Net flow back to origin,Small
MWI,DEU,2017,5,4,1,2010s,MWI-DEU,Net flow to destination,Large
SWE,KOR,1997,4,2,2,1990s,SWE-KOR,Net flow to destination,Large
JPN,HUN,2011,6,8,-2,2010s,JPN-HUN,Net flow back to origin,Large
JAM,USA,2004,15,5,10,2000s,JAM-USA,Net flow to destination,Very Large
COL,DEU,2009,8,10,-2,2000s,COL-DEU,Net flow back to origin,Large
JPN,KEN,1997,1,1,0,1990s,JPN-KEN,Balanced,Small
SWE,ISR,2001,7,6,1,2000s,SWE-ISR,Net flow to destination,Large
KOR,NLD,2007,6,6,0,2000s,KOR-NLD,Balanced,Large
ARG,GBR,2002,13,12,1,2000s,ARG-GBR,Net flow to destination,Very Large
DEU,PHL,2016,2,7,-5,2010s,DEU-PHL,Net flow back to origin,Medium
AUS,PHL,2000,6,6,0,2000s,AUS-PHL,Balanced,Large
KWT,CAN,2013,4,12,-8,2010s,KWT-CAN,Net flow back to origin,Large
GBR,PHL,2014,9,8,1,2010s,GBR-PHL,Net flow to destination,Large
IRL,CHN,2010,10,18,-8,2010s,IRL-CHN,Net flow back to origin,Large
IRL,CHE,2020,17,15,2,2020s,IRL-CHE,Net flow to destination,Very Large
ZAF,RUS,2001,3,6,-3,2000s,ZAF-RUS,Net flow back to origin,Medium
CZE,IRL,2008,7,1,6,2000s,CZE-IRL,Net flow to destination,Large
SVK,RUS,2002,4,3,1,2000s,SVK-RUS,Net flow to destination,Large
USA,SGP,1997,43,36,7,1990s,USA-SGP,Net flow to destination,Very Large
FRA,MCO,2004,16,7,9,2000s,FRA-MCO,Net flow to destination,Very Large
ROU,NLD,2002,10,1,9,2000s,ROU-NLD,Net flow to destination,Large
OMN,ARE,2008,2,3,-1,2000s,OMN-ARE,Net flow back to origin,Medium
SGP,RUS,2019,4,1,3,2010s,SGP-RUS,Net flow to destination,Large
USA,AFG,2009,12,1,11,2000s,USA-AFG,Net flow to destination,Very Large
AUS,ZWE,2012,3,1,2,2010s,AUS-ZWE,Net flow to destination,Medium
ZWE,AUS,2015,1,1,0,2010s,ZWE-AUS,Balanced,Small
KOR,IRL,1998,1,1,0,1990s,KOR-IRL,Balanced,Small
ITA,BRA,2007,24,37,-13,2000s,ITA-BRA,Net flow back to origin,Very Large
BEL,THA,2010,3,2,1,2010s,BEL-THA,Net flow to destination,Medium
BGD,NLD,2023,1,1,0,2020s,BGD-NLD,Balanced,Small
GBR,EGY,1998,10,7,3,1990s,GBR-EGY,Net flow to destination,Large
POL,KEN,2009,1,2,-1,2000s,POL-KEN,Net flow back to origin,Small
POL,SVK,2009,6,6,0,2000s,POL-SVK,Balanced,Large
KOR,RUS,2010,15,9,6,2010s,KOR-RUS,Net flow to destination,Very Large
DEU,THA,2000,5,3,2,2000s,DEU-THA,Net flow to destination,Large
AUS,KEN,2002,1,1,0,2000s,AUS-KEN,Balanced,Small
